diary_id,date,time,summary
17,2024.09.20,AM09:45,"
    1. 승희와 카톡 
    2. 완벽 or 지옥 같은 미래도 현재와 같은 루틴으로.
    3. 오늘 웃는자가 최후에도 웃게 될것이다 -니체
    4. 오늘이 마지막 날인것 처럼 살아라. 나의 마지막을 상상해보고 그날과 오늘의 루틴을 갖게 만든다면 그말이 실현된것이다.

    "
16,2024.09.19,AM06:26,"
    1. 저속 정성글씨, 일정박자 펜압 심신안정,즐거운기분
    2. 병원일상 미라클 완료 수면질 좋음(당독소 다이어트 효과인듯)
    3. 필사 노션작업 간략화, 패드에 한쪽 사진 입력후 밑줄

    "
15,2024.09.18,AM08:28,"
    1. 자기애 지출(프로틴-무당, 마그네틱쉐이크가방,쉐이커뚜껑, 찻주전자, 로즈마리티백)
    2. 저녁 독서 피로 게임으로 이어짐
    3. 성욕,도파민 아껴서 아침운동시 폭발 마인드 채택, 상상력 훈련
    4. 매일꾸준히 한시간저도 그시간에 할수있는것이 프로의 출발선, 매일 hello world 치기 시작
"
14,2024.09.17,AM08:11,"
    1. 피곤함-게임 악순환 끊기 위해 저녁루틴 고민
    2. LLSMIDF(세탁,음료,피부,명상,시각화,어둠,폼롤러)
    3. 확언2주 점점 구체화됨을 느낌, 미래에 대한 확신
    4. 잔소리는 수용 불가자의 태도. 침묵자는 기다리며 에고를 녹인다.
    <PM05:40>
    1. 강동역 셀러그리티 육회셀러드+바질올리브소스+ 닭가슴살
    2. 오후에 루틴해보았으나 의지,의욕,에너지 모두 부족, 명상은 에너지많은 아침에 하자
    3. 루틴아닌 시간에 무엇을 해야하나? 고민중, 일단 기록하는데 시간 써보자
    "
13,2024.09.16,AM09:07,"
    1. 책상자리배치 항상 같게, 기상후 마음도 항상같게
    2. 여자생각, 전날잔상념 보다 나자신을 바라보는것이 낫다
    3. 마이아르반응 독으로세뇌됨. 마트 90% 불가, 수육뿐..
    "
12,2024.09.15,AM07:21,"
    <지하철>
    1. 아차산 등반
    2. 상쾌함 -긍정적사고를 위한 휴일루틴
    3. 휴일은 무조건 산 입구찍고 오는것을 미니루틴으로
    "
11,2024.09.14,AM07:50,"
    1. 지나간것은 전부 좋은 경험
    2. 과거는 오지않고 미래는 반드시온다
    3. 루틴불가 확언은 본심x , 조바심일뿐
    "
10,2024.09.13,AM07:48,"
    1. 어제 회식 엄마 사고 입원
    2. 오늘 수술
    "
9,2024.09.12,AM08:42,"
    1. 폼롤러 대탐험. 하체 실패. 리듬중요
    2. 헬스,명상 x,왼쪽다리 절뚝 -> badday mini routine실행
    4. 집일 불가능은 자기암시일뿐
    5. 지하철 사람피해 퇴근4시30분

"
8,2024.09.11,AM06:55,"
    1. 수면의 질 개선 시급
    2. 루틴 : 시간도 물건 처럼 정리
    3. 고통 org 폼롤러 극도의 이완 경험

"
7,2024.09.10,AM07:06,"
    1. 전날 밀가루로 배아픈 아침
    2. 데이콘 구독과 flutter 리뷰
    3. 창업<- 수상, 아이템, 지식 필요

"
6,2024.09.09,AM06:39,"
    1.	등산후 테스토스테론 급상승및 피로로인한 낮잠
    2.	-감정 들면산책을 해보자.루틴화.
    "
5,2024.09.07,AM05:25,"
    1.	루틴을 정립해나가는 느낌
    2.	거부감느꼈던것들을 1초 미니루틴으로 정복해나간다면! 도전!
    3.	좋은습관 책들에서 수집해서 도전해보자
    "
4,2024.09.06,AM05:03,"
    1.명상은 정화됨.온몸 근육 2배 환골탈태 구체적 연상
    2.침묵후 확언의 강렬함 느낌 최고IT, 건강140세,행복선택,사랑-수용, 루틴으로 성장
    "
3,2024.09.05,AM06:42,"
    미래상상 최면, 멋진몸, 서가의 책들, IT회사, 현재로 회귀
    "
2,2024.09.04,AM06:19,"
    1. 자유는 고통의 선택으로부터 온다
    2. 리더의 - 감정 , 팀은 박살난다.
    3. 염증억제식단으로 -감정 원천 차단.
    "
1,2024.09.03,05:49,"mircle 루틴 시작, 내가 만들기 원하는것"
